CustomerID,Gender,Age,AnnualIncome,SpendingScore
1,Male,38,81886,57
2,Female,49,95745,26
3,Male,40,103251,41
4,Male,50,114456,35
5,Male,20,73413,63
6,Female,35,76800,25
7,Male,42,117239,90
8,Male,59,62318,75
9,Male,48,139803,38
10,Female,20,90173,2
11,Male,57,90390,7
12,Male,63,72329,82
13,Male,41,142418,91
14,Male,67,63088,34
15,Female,49,136868,91
16,Male,64,123196,17
17,Female,39,59811,43
18,Female,40,134825,59
19,Female,19,75479,51
20,Male,44,105392,54
21,Female,59,107369,24
22,Male,19,137520,25
23,Female,43,39963,71
24,Female,34,75123,52
25,Female,57,145911,70
26,Female,50,122468,88
27,Female,26,112705,33
28,Female,60,93477,49
29,Female,65,34388,29
30,Female,56,25569,63
31,Male,46,89836,22
32,Male,59,124573,26
33,Female,43,56586,28
34,Female,52,147018,85
35,Female,67,32015,49
36,Male,42,65002,71
37,Female,41,136594,81
38,Male,30,26254,84
39,Male,24,37144,49
40,Male,53,44214,20
41,Male,62,125654,86
42,Male,37,100719,92
43,Female,18,91774,63
44,Female,25,26090,61
45,Female,63,31637,49
46,Female,33,42415,71
47,Female,31,44071,1
48,Male,29,78243,96
49,Female,68,130951,13
50,Female,40,145827,94
51,Male,32,128215,87
52,Female,45,61240,51
53,Male,51,146146,56
54,Female,19,103807,83
55,Male,49,121570,62
56,Female,40,53434,32
57,Female,39,89724,30
58,Male,68,135359,29
59,Male,42,95697,49
60,Male,39,48732,45
61,Male,39,141465,93
62,Male,66,31314,30
63,Male,69,43954,16
64,Male,59,77108,40
65,Male,23,107044,19
66,Female,32,107505,18
67,Female,60,131195,1
68,Male,54,123081,78
69,Female,50,56668,47
70,Female,25,43061,66
71,Female,61,99252,92
72,Female,61,59749,94
73,Male,22,149668,38
74,Female,56,124680,51
75,Male,21,36907,63
76,Female,23,38777,4
77,Female,62,113229,1
78,Female,49,71745,8
79,Male,69,128464,29
80,Female,47,148077,55
81,Male,64,111865,3
82,Female,52,132428,32
83,Male,57,101818,10
84,Female,69,43624,74
85,Male,33,43321,83
86,Male,30,30488,34
87,Female,67,42574,97
88,Male,59,25240,87
89,Female,47,63221,55
90,Female,36,30478,92
91,Female,34,148055,32
92,Female,36,75645,50
93,Female,45,130698,7
94,Female,43,39262,93
95,Female,54,138831,8
96,Female,43,72796,65
97,Female,40,24432,57
98,Female,26,115257,67
99,Female,29,84291,88
100,Male,18,99104,87
101,Male,18,79399,59
102,Female,64,147600,72
103,Female,51,99714,54
104,Female,49,70428,67
105,Female,65,107731,51
106,Female,42,145646,97
107,Female,57,20302,92
108,Female,62,102558,8
109,Female,18,20055,34
110,Male,33,131317,35
111,Female,56,28717,96
112,Male,22,147449,88
113,Female,39,48699,78
114,Female,46,93686,32
115,Male,20,87661,46
116,Female,29,64247,16
117,Male,43,134049,68
118,Female,33,36748,37
119,Female,68,125113,54
120,Male,54,24621,85
121,Female,39,35034,14
122,Male,46,131927,95
123,Female,31,147858,55
124,Male,45,25126,48
125,Male,22,25122,82
126,Female,64,38030,7
127,Female,66,102838,74
128,Male,47,104717,7
129,Female,63,75658,33
130,Female,69,58638,23
131,Female,22,87067,85
132,Male,29,126476,19
133,Male,33,138033,19
134,Male,43,125977,36
135,Male,43,108869,29
136,Male,65,125186,60
137,Male,38,54674,82
138,Male,56,55854,2
139,Male,53,66271,1
140,Male,50,93688,47
141,Female,47,58518,69
142,Male,54,131076,20
143,Female,40,30267,11
144,Female,27,110825,2
145,Female,22,21062,67
146,Male,53,136664,87
147,Male,51,70448,12
148,Male,69,115462,20
149,Male,48,26229,5
150,Female,27,76793,37
151,Male,36,134813,38
152,Male,49,67915,94
153,Male,18,24632,9
154,Male,22,124592,98
155,Male,62,23596,53
156,Female,21,129779,44
157,Male,33,26168,99
158,Female,41,128099,86
159,Male,33,27561,24
160,Female,19,93794,81
161,Male,66,102152,74
162,Male,45,145036,30
163,Female,49,144049,59
164,Female,44,46734,87
165,Female,37,26371,96
166,Male,41,138894,81
167,Female,29,46069,81
168,Male,67,99905,14
169,Male,52,32910,9
170,Female,50,93479,40
171,Female,50,97735,66
172,Male,68,101264,25
173,Male,60,43275,73
174,Female,54,92274,22
175,Female,29,101449,4
176,Female,20,120776,26
177,Male,18,80004,58
178,Male,50,82981,29
179,Male,57,104659,98
180,Male,27,74553,87
181,Male,60,68447,37
182,Male,61,54529,75
183,Female,46,146394,70
184,Male,30,95703,18
185,Male,29,96090,85
186,Male,48,37260,42
187,Female,63,132581,100
188,Male,19,23812,41
189,Male,68,48024,38
190,Female,67,78656,34
191,Male,52,136148,17
192,Male,40,47285,37
193,Male,34,112436,25
194,Male,43,136421,76
195,Male,25,21605,87
196,Female,46,91158,86
197,Female,43,92303,85
198,Female,27,47139,27
199,Male,43,97149,57
200,Male,51,76138,31
201,Male,68,138205,6
202,Female,58,96125,91
203,Male,24,33918,40
204,Male,21,105655,98
205,Female,67,47446,12
206,Male,62,144040,53
207,Female,28,33046,71
208,Female,46,149922,10
209,Female,53,44818,45
210,Male,42,120894,17
211,Male,38,135751,26
212,Male,53,24324,85
213,Male,27,96323,92
214,Male,54,29111,62
215,Male,26,58110,46
216,Male,41,36389,64
217,Female,52,142177,2
218,Male,66,61427,54
219,Female,52,99579,65
220,Male,65,48746,51
221,Male,53,142883,53
222,Male,35,107886,36
223,Female,66,127141,26
224,Female,56,20117,29
225,Female,49,145808,21
226,Female,41,132221,11
227,Male,40,104471,40
228,Female,49,132613,11
229,Male,54,33234,36
230,Male,29,149597,59
231,Female,66,123864,39
232,Female,30,73441,99
233,Female,40,20846,54
234,Female,42,30954,98
235,Female,52,99239,55
236,Female,58,133689,24
237,Female,47,66514,22
238,Female,34,108236,69
239,Male,66,117579,56
240,Female,37,148644,33
241,Female,65,26469,36
242,Male,42,50105,20
243,Female,39,62101,83
244,Male,30,84323,99
245,Male,36,111922,81
246,Female,66,78067,62
247,Male,53,69376,98
248,Male,29,65587,73
249,Male,58,56976,26
250,Male,36,124587,66
251,Female,29,147534,73
252,Male,26,87584,73
253,Female,24,124537,40
254,Male,45,98477,17
255,Male,31,130911,1
256,Male,48,62533,89
257,Male,69,21828,61
258,Female,36,21917,43
259,Female,64,40618,42
260,Male,33,52254,25
261,Male,22,125292,39
262,Female,52,136714,35
263,Male,29,67362,3
264,Male,42,40128,44
265,Male,69,143781,51
266,Female,38,131281,94
267,Female,53,79383,98
268,Female,40,85545,12
269,Male,33,102180,19
270,Male,56,107958,44
271,Female,62,29865,59
272,Female,59,22219,49
273,Female,56,59809,61
274,Female,31,136748,17
275,Male,48,25287,74
276,Female,22,146593,57
277,Male,52,54387,55
278,Female,40,28512,47
279,Male,46,21342,12
280,Female,60,83076,62
281,Female,28,128872,80
282,Female,35,39216,88
283,Female,64,137512,83
284,Male,29,136682,8
285,Female,26,113070,95
286,Male,27,99767,21
287,Male,61,117829,81
288,Male,34,46614,87
289,Male,55,56258,80
290,Female,24,113789,70
291,Male,63,62078,72
292,Male,30,126288,25
293,Male,57,103524,82
294,Female,59,116573,89
295,Female,26,32219,12
296,Female,67,20235,15
297,Female,44,62929,59
298,Male,19,147309,26
299,Male,22,87444,26
300,Female,46,28567,47
301,Male,54,121834,32
302,Male,55,90792,10
303,Male,36,85441,16
304,Female,25,104555,71
305,Female,65,93698,17
306,Male,62,144450,23
307,Female,18,137248,26
308,Female,39,25415,85
309,Female,69,56159,86
310,Female,34,63925,7
311,Female,24,146523,14
312,Male,42,25951,79
313,Female,62,107388,7
314,Male,21,28007,9
315,Male,53,146730,48
316,Female,23,61832,72
317,Male,48,78596,59
318,Male,36,141101,87
319,Male,61,50523,93
320,Female,56,108861,82
321,Female,44,144194,95
322,Male,27,106740,94
323,Female,43,35524,39
324,Female,36,149028,99
325,Female,56,39282,18
326,Female,20,43930,59
327,Male,62,20077,17
328,Male,30,125881,14
329,Female,67,145501,31
330,Female,45,40611,24
331,Male,37,36984,99
332,Male,45,34060,60
333,Female,25,102985,45
334,Male,58,104056,98
335,Female,56,145329,3
336,Female,18,63303,37
337,Male,20,79207,43
338,Male,30,95046,40
339,Female,45,49287,90
340,Female,66,113709,55
341,Male,42,59711,87
342,Female,50,31954,39
343,Male,55,93340,15
344,Female,23,92101,4
345,Male,61,91520,93
346,Male,62,107062,86
347,Male,49,122974,25
348,Female,62,38574,13
349,Female,64,29184,82
350,Male,38,39096,33
351,Female,33,87728,16
352,Male,38,54016,42
353,Male,28,31246,66
354,Female,54,65558,55
355,Female,53,138721,99
356,Male,52,38381,42
357,Female,36,147796,34
358,Female,37,56455,30
359,Male,35,112263,13
360,Male,64,24018,13
361,Female,58,31302,18
362,Male,66,87506,32
363,Male,31,61157,96
364,Female,32,74917,99
365,Male,48,112738,39
366,Male,18,116646,46
367,Female,20,103122,29
368,Female,33,44519,62
369,Male,40,116809,93
370,Male,28,107487,62
371,Female,29,76819,57
372,Female,27,100910,16
373,Female,49,140430,56
374,Female,33,91324,10
375,Male,25,25408,30
376,Female,55,79379,25
377,Female,29,45053,84
378,Male,41,29446,5
379,Female,45,20922,65
380,Male,25,118723,94
381,Female,45,71356,49
382,Female,53,30789,3
383,Female,43,117720,45
384,Male,25,86656,14
385,Male,67,64028,30
386,Female,45,84484,68
387,Male,45,52154,18
388,Male,54,102870,62
389,Male,58,22336,37
390,Male,53,123677,25
391,Male,44,87779,48
392,Male,34,39029,65
393,Female,26,79201,53
394,Female,50,52265,79
395,Male,37,122916,73
396,Female,30,132250,15
397,Female,45,136553,49
398,Female,65,63872,88
399,Female,46,66197,68
400,Male,30,145733,12
401,Female,63,75180,59
402,Female,52,43710,37
403,Male,23,49486,61
404,Male,35,91907,43
405,Female,68,148876,70
406,Female,22,91895,39
407,Female,64,84435,56
408,Female,42,60631,63
409,Female,19,149038,46
410,Female,27,121532,88
411,Male,47,40103,11
412,Female,67,84772,62
413,Female,62,146108,77
414,Male,22,34382,98
415,Male,50,104291,25
416,Male,18,121195,71
417,Male,35,23756,52
418,Female,49,40609,4
419,Female,64,134074,59
420,Female,66,36478,72
421,Female,28,120978,20
422,Female,38,59666,93
423,Female,43,95683,63
424,Male,42,119097,54
425,Female,39,144714,74
426,Male,44,120420,98
427,Male,66,91315,57
428,Female,30,97834,90
429,Male,50,146205,41
430,Female,51,34153,3
431,Male,58,129415,6
432,Female,52,96325,5
433,Male,18,129701,5
434,Female,38,32999,54
435,Female,65,75318,47
436,Female,23,20814,87
437,Female,45,135033,49
438,Female,34,96077,9
439,Male,22,110474,99
440,Male,48,22443,20
441,Male,22,95993,61
442,Female,55,95916,35
443,Male,20,93319,50
444,Female,40,145885,82
445,Female,54,129777,62
446,Male,54,37368,17
447,Male,27,35328,88
448,Female,27,76942,3
449,Male,36,111751,32
450,Female,34,119131,99
451,Female,38,47306,13
452,Female,31,105451,89
453,Female,26,59915,73
454,Female,63,57219,68
455,Male,18,100879,14
456,Male,68,131939,98
457,Female,62,84644,11
458,Female,30,80279,56
459,Male,21,73028,67
460,Male,18,124263,92
461,Female,66,20126,29
462,Male,57,72329,9
463,Female,49,47632,67
464,Male,51,127099,25
465,Female,45,85310,98
466,Male,48,129945,76
467,Female,25,75176,42
468,Male,56,139797,9
469,Male,43,106066,79
470,Female,51,125500,40
471,Male,20,146413,25
472,Female,67,64327,5
473,Male,29,88904,11
474,Female,18,23797,59
475,Male,61,67882,98
476,Female,22,33718,88
477,Male,47,54560,79
478,Female,47,96589,38
479,Male,34,42116,72
480,Female,65,56244,5
481,Female,64,121721,48
482,Female,40,21645,90
483,Male,32,67523,18
484,Female,54,144085,70
485,Male,38,137718,37
486,Female,31,39256,60
487,Male,19,121376,48
488,Female,28,120158,77
489,Male,68,73173,28
490,Male,56,57430,69
491,Female,55,59282,77
492,Male,51,139719,81
493,Male,55,83374,40
494,Female,67,88244,45
495,Male,51,31694,96
496,Male,35,76264,62
497,Male,47,95060,93
498,Female,32,117416,58
499,Male,44,77545,67
500,Female,68,138195,56
